destination,aspecto,y_true,y_pred,tipo_error,confianza,patron_tentativo,text_clean
Museo de Sitio Huaca Pucllana,clima,negativo,neutro,negativo→neutro,0.5894,aspecto_debil,"Es un lugar interesante. Fuimos un viernes en la mañana y nos cobraron 15 soles por persona por la entrada. Las visitas son guiadas (es obligatorio) y hay guías en español y en ingles. Como recomendación, el sol pega muy fuerte así que lleven un gorro y usen bastante protector solar. No hay lockers o custodia para dejar bolsos, y se camina bastante así que les recomiendo que vayan ligeros. Hay baños."
Santuario Histórico de Machu Picchu,clima,negativo,neutro,negativo→neutro,0.5836,aspecto_debil,"Mixed feelings about this wonder. Yes the site is magical, as the clouds slowly lift. But well, as you get limited to a basic circuit you can't even explore the ruins or benefit from any explanation. Is it worth the investment in time and money to get there, feeling ripped off by the train companies and the soulless village below ? There are many other wonders in Peru I would recommend..."
Santuario Histórico de Machu Picchu,seguridad,negativo,neutro,negativo→neutro,0.5823,aspecto_debil,"Machu Picchu es considerada al mismo tiempo una obra maestra de la arquitectura y la ingeniería.5 Sus peculiares características arquitectónicas y paisajísticas, y el velo de misterio que ha tejido a su alrededor buena parte de la literatura publicada sobre el sitio, lo han convertido en uno de los destinos turísticos más populares del planeta. Machu Picchu está en la Lista del Patrimonio de la humanidad de la Unesco desde 1983, como parte de todo un conjunto cultural y ecológico conocido bajo la denominación Santuario histórico de Machu Picchu. Las ruinas incas se encuentran a medio camino entre las cimas de ambas montañas, a 450 metros de altura por encima del nivel del valle y a 2.438 metros sobre el nivel del mar. La superficie edificada es aproximadamente de 530 metros de largo por 200 de ancho, contando con 172 edificios en su área urbana. Las ruinas, propiamente dichas, están dentro de un territorio intangible del Sistema Nacional de Áreas Naturales Protegidas por el Estado (SINANPE),8 llamado Santuario Histórico de Machu Picchu, que se extiende sobre una superficie de 32.592 hectáreas, (80.535 acres o 325,92 km²) de la cuenca del río Vilcanota-Urubamba (el Willka mayu o ""río sagrado"" de los incas). El Santuario Histórico protege una serie de especies biológicas en peligro de extinción y varios establecimientos incas, entre los cuales Machu Picchu es considerado principal. Las primeras referencias directas sobre visitantes de las ruinas de Machu Picchu indican que Agustín Lizárraga, un arrendatario de tierras cusqueño, llegó al sitio el 14 de julio de 1902 guiando a los también cusqueños Gabino Sánchez, Enrique Palma y Justo Ochoa. Los visitantes dejaron un graffiti con sus nombres en uno de los muros del Templo de las Tres Ventanas que fue posteriormente verificado por varias personas. Existen informaciones que sugieren que Lizárraga ya había visitado Machu Picchu en compañía de Luis Béjar en 1894.48 Lizárraga les mostraba las construcciones a los ""visitantes"", aunque la naturaleza de sus actividades no ha sido hasta hoy investigada. Bingham quedó muy impresionado por lo que vio y gestionó los auspicios de la Universidad de Yale, la National Geographic Society y el gobierno peruano para iniciar de inmediato el estudio científico del sitio. Así, con el ingeniero Ellwood Erdis, el osteólogo George Eaton, la participación directa de Toribio Recharte y Anacleto Álvarez y un grupo de anónimos trabajadores de la zona, Bingham dirigió trabajos arqueológicos en Machu Picchu en 1912 hasta 1915 período en el que se despejó la maleza y se excavaron tumbas incas en los extramuros de la ciudad. La ""vida pública"" de Machu Picchu empieza en 1913 con la publicación de todo ello en un artículo en la revista de la National Geographic. Si bien es claro que Bingham no descubre Machu Picchu en el sentido estricto de la palabra (nadie lo hizo dado que nunca se ""perdió"" realmente), es indudable que tuvo el mérito de ser la primera persona en reconocer la importancia de las ruinas, estudiándolas con un equipo multidisciplinario y divulgando sus hallazgos. Ello pese a que los criterios arqueológicos empleados no fueran los más adecuados desde la perspectiva actual, y pese, también, a la polémica que hasta hoy envuelve la más que irregular salida del país del material arqueológico excavado (que consta de al menos unas 46.332 piezas) y que hasta el 2009 no ha sido devuelto al gobierno peruano. El área edificada en Machu Picchu es de 530 metros de largo por 200 de ancho e incluye al menos 172 recintos. El complejo está claramente dividido en dos grandes zonas: la zona agrícola, formada por conjuntos de terrazas de cultivo, que se encuentra al sur; y la zona urbana, que es, por supuesto, aquella donde vivieron sus ocupantes y donde se desarrollaron las principales actividades civiles y religiosas. Ambas zonas están separadas por un muro, un foso y una escalinata, elementos que corren paralelos por la cuesta este de la montaña"
Santuario Histórico de Machu Picchu,atencion_servicio,negativo,neutro,negativo→neutro,0.5763,ambiguedad_semantica,"This is an amazing place! Incredible location in the exuberant ANDES . The tracks going to the point are unforgettable, that's the essence and uniqueness of those evergreen mountains. Rich full of life with wild rivers, dangerous trails and ""pacha mama's "" fruits of delight😂. The views and the natural phenomena situation make Machu Picchu a memorable place. So international!!! On the other hand stay the construction itself : very modest and elementary for the time ( Incas like all American tribes ) were underdeveloped and it is evident in all their monuments around the continent. Lack of any written documents make the stories sound so funny and absurd! Tour guides are so amateurish that make me LOL! Extremely overpriced but that's the sad story of the mass tourism industry all around the world now!"
Santuario Histórico de Machu Picchu,costos,negativo,neutro,negativo→neutro,0.5728,resena_mixta,"Amazing ruins of the ancient holy city of Incas. The place doesn't need any explanation, it's among 7 world wonders and very well known. However I believe the local authorities did exploited this place too much without caring too much about the experience of the visit. Although the daily capacity of visitors is capped this place looks way to busy and filled with people who are just there to make selfies. My suggestion is to reach it via Inca trail, even just the last piece of the trekking, so that you can see it from the top of Porta del Sol. Lastly the entry costs have crazly skyrocket in last 10 years with little if no sense."
Monasterio de Santa Catalina,clima,negativo,neutro,negativo→neutro,0.5601,aspecto_debil,"We loved our experience of the Monastery. A fascinating history and indeed the most beautiful and well preserved place you will visit in Peru. 40 soles entrance plus 10 soles each for an English speaking guide who was ok but not overly enthusiastic (think she’s bored of regurgitating the facts), still worth hearing however. The entrance fees are high for Peru and I believe some of the money goes to the upkeep of the monastery and some goes to the 18 active nuns still living in a separate section of the convent. If you’ve been to southern Spain this will be a particularly wowing experience for you as the architecture and colour-scheme are just of that in Córdoba and Granada. We spent almost 2 hours including the 45minute-1hr guided tour. We went at 10:30am and it was already a little busy, quite hot by the time we wanted to leave too. I would go earlier as the light might be a little softer for pictures, less busy and less hot. My boyfriend was a little irritated taking film photos because a few times someone stepped right into the otherwise clear frame just as he clicked the button. Haha Afterwards we went for coffee to La Dispenserie which was fantastic, buy a loaf of their ciabatta for 8 soles! It’s incredible. Love love loved it, could not recommend it more highly."
Santuario Histórico de Machu Picchu,atencion_servicio,negativo,neutro,negativo→neutro,0.5578,ambiguedad_semantica,"I’m giving a 1-star review for the absolutely terrible new ticketing system. Forcing visitors to see only one tiny section of Machu Picchu is a horrendous idea, and if other world wonders followed this model, world tourism would collapse. My experience was a complete disaster. I originally had a ticket for Circuit No. 2 and wanted to go to the top, but my official tour guide insisted the top was part of Circuit No. 1. So I purchased an additional ticket for Circuit No. 1 just to make sure I could see everything. Then, when I tried to go up, the staff told me that what I wanted to see was not Ticket No. 1 but it was actually Circuit No. 2, and because my original Circuit No. 2 ticket had been valid in the morning, it was now “expired”. So despite buying different tickets, they still refused to let me see the top of circuit 2 from Machu Picchu. Their only response was to tell me to complain to my tour guide, which is absolutely useless and does nothing to fix the fact that I ended up out of one important part I came to see. What makes this even worse is their complete lack of empathy. They don’t understand, or probably don’t care, that people wait months or even years to visit Machu Picchu, and for many it’s a once-in-a-lifetime experience. If someone has a VALID ticket, even if it expired, DURING LOW SEASONS, a few hours earlier due to confusing instructions, the staff should show some humanity and let them in. There is absolutely no reason to be so strict. It was even late afternoon and there wasn't any crowd at all. Instead, the rangers and gate agents were rude, unhelpful, inflexible, and completely indifferent. They just recite the same memorized line ""your ticket expired"" and refuse to help in any real way. Honestly, AI robots would do a far better job than the staff currently working there. I had heard many complaints about Machu Picchu, but now I've experienced this myself. Hope this review helps someone"
Centro Histórico de Lima,costos,negativo,neutro,negativo→neutro,0.5452,ambiguedad_semantica,"No sé pq dan paseos a caballo en pleno 2025, es feo de ver que la municipalidad permita esto, pobres caballos. Hay mucho ambulante y me cayó un avion de juguete en la cara, por muchos lados cercanos huele a orina"
Museo Tumbas Reales del Señor de Sipán,aforo_multitudes,negativo,neutro,negativo→neutro,0.5298,aspecto_debil,Buen museo aunque deben mejorar el tema de la colá porque tienen a todas las personas expuestas directamente al sol sin ningún tipo de protección tal como carpas o hacer la colá en la zona cubierta por los árboles pero los guardias no lo permiten y hacen caso omiso al pedido.
Santuario Histórico de Machu Picchu,seguridad,negativo,neutro,negativo→neutro,0.5207,aspecto_debil,"Un lugar increíble pero con una BURROCRACIA que avergüenza a los propios peruanos, para la compra de entradas tienes que armarte de paciencia y perder varias horas para conseguirlas. El boleto de bus 24 dólares por un recorrido de 20 minutos, un robo pero con una sonrisa y autorización de las autoridades, para la única empresa que cuenta con el monopolio del transporte, ya que mueve 4000 personas diariamente"
Santuario Histórico de Machu Picchu,costos,negativo,neutro,negativo→neutro,0.5193,ambiguedad_semantica,"1) YOU CANNOT WALK BACK, OR REPEAT ANY PART OF YOUR CIRCUIT. There are staff watching and they will blow their whistle and shout at you if you try. We arrived in a downpour so we walked to some shelter and waited it out. When we tried to walk back on the circuit we had paid for, we were not allowed. It doesn't matter that it's not busy, you want to take photos or any other reason, they will not let you walk back, even 20m. Unfortunately this was not clear when we purchased the ticket so we missed a significant portion of our route :( Therefore I'd advise you to walk slowly and enjoy the views, because once you arrive at the exit, that will be the end of your time at macchu pichu. I feel the staff lack compassion since it was 7am and quiet at macchu pichu, and I didn't want it to rain. If they had a cafe inside at the beginning I'd have waited there, but you have to enter at your time slot so I was left in a downpour in my poncho. I'd paid for flights, accomodation, and so many buses and trains to be there. The staff didn't show any compassion for my situation and were curt. <- therefore one star, but then I added one star for the staff that let me go take pictures of the llamas :) 2) TOILETS WILL COST YOU EXTRA ON TOP OF THE ENTRANCE FEE, AND BAGGAGE STORAGE. Which I also find ridiculous considering the entrance ticket is so expensive. Toilet S/2 and baggage is S/5. 3) YOU CANNOT ENTER BEFORE THE ENTRANCE TIME ON YOUR TICKET Something to do with the system they use. 4) DO NOT FLY A DRONE The staff have a walkie talkie system and respond very quickly. I don't know what the consequences are, but the people we saw were taken to the office. 5) DO NOT BOOK EARLY MORNING TIME SLOT IF YOU ARE VISITING IN WET/ SHOULDER SEASONS The clouds tend to hang low in the sky in the morning so you might not have the best view/ you might have to wait for clouds to clear. 6) YOU CAN BUY THE BUS TICKET FOR THE BUS UPWARDS ONLINE, BEFOREHAND (12 USD per ride) Just look for the one bus company that runs the route. I can't remember off the top of my head. You can also purchase them at the bottom and at the top, the process is quick and easy. Hope this helps :) I did route 1&2 and was happy with all the areas it covered."
Santuario Histórico de Machu Picchu,accesibilidad,negativo,neutro,negativo→neutro,0.5189,resena_mixta,"Amazing ruins of the ancient holy city of Incas. The place doesn't need any explanation, it's among 7 world wonders and very well known. However I believe the local authorities did exploited this place too much without caring too much about the experience of the visit. Although the daily capacity of visitors is capped this place looks way to busy and filled with people who are just there to make selfies. My suggestion is to reach it via Inca trail, even just the last piece of the trekking, so that you can see it from the top of Porta del Sol. Lastly the entry costs have crazly skyrocket in last 10 years with little if no sense."
Museo Tumbas Reales del Señor de Sipán,clima,negativo,neutro,negativo→neutro,0.5078,aspecto_debil,"Es difícil puntuar como corresponde al Museo porque hay varios factores para tener en cuenta. Para empezar, cuando una entra al estacionamiento, tiene que volver a la entrada para adquirir el ingreso y el valor nos pareció más bien de índole simbólica * 10 soles para adultes * 4 soles para adultes mayores y estudiantes *1.50 soles niñes. Ingresamos en subida al mismo, y me quedé pensando, si la subida es tan empinada, ¿Cómo hacen para ingresar las personas con movilidad reducida o usuaries de silla de ruedas? Adentro del museo, el calor, hacia mitad del recorrido se hace realmente muy pesado, sumándole a la experiencia el uso obligatorio que tenemos que hacer como corresponde de la mascarilla. La exposición entera, está muy bien armada, sólo a veces (muy pocas en realidad) el relato construido para guiar la visita cambia de persona, al principio se mantiene con una ""objetividad"" y luego pasa a una primera persona colectiva. A tener en cuenta algunos de los termómetros no funcionan (: Es la cuarta vez que viajo hasta Lambayeque para poder compartir esta belleza de museo, en esta ocasión, fui acompañada de tres personas más y resulta que la última sala que es realmente la frutilla en el postre. Casi que el impulso principal para ver tan increíble sala viva, resulta que está inhabilitada, cerrada por covid. Lo cual, es ilógico debido a que estamos dentro del museo y esa sala, no se diferencia en exposición del resto de las salas. Así que, sigue siendo recomendable, pero deberían reactivarla."
Valle del Colca,accesibilidad,negativo,neutro,negativo→neutro,0.5027,ambiguedad_semantica,"A spectacular canyon, and in my view even more spectacular historical site. The terraces built by the pre-inca civilitation that stretch through the valley are stunning. I cannot begin to imagine the amount of labour and sheer effort that went into building these. There are some excellent opportunities to take short hikes to scenic viewpoints, and inbetween you get around easily by bus or car, so it's very well suited for the not so outdoor-minded among us, which includes me. There is also an active volcanoe that erupts from time to time, making for a spectacular view."
Reserva Nacional de Paracas,clima,negativo,neutro,negativo→neutro,0.4864,aspecto_debil,La mina is such beautiful beach!! The water is light blue and clean. The water is cold but so worth it! They have a snack shop upstairs and bathrooms. Would definitely recommend this beach to anyone who wants to be around natures beauty and a friendly crowd
Santuario Histórico de Machu Picchu,accesibilidad,negativo,neutro,negativo→neutro,0.4838,resena_mixta,"Excelente experiencia llegar a este lugar. Desde Cusco se puede tomar autobús hasta Ollantaytambo y de ahí el tren. Al regreso se hace de la misma manera. Com alguna agencia de allá sale en poco más de 300 dls el tour, puesto q lomas caro es el tren y entrada a Machupichu. Aguas Calientes es más caro que Cusco por lo que se debe tener en cuenta. En cuanto a la obra que es Machupichu, se aprecia de gran manera los tipos de construcción e ingeniería de los Incas. Hay ciertos sectores cerrados por mantenimiento y para evitar más erosión."
Santuario Histórico de Machu Picchu,costos,negativo,neutro,negativo→neutro,0.4723,ambiguedad_semantica,"I’m giving a 1-star review for the absolutely terrible new ticketing system. Forcing visitors to see only one tiny section of Machu Picchu is a horrendous idea, and if other world wonders followed this model, world tourism would collapse. My experience was a complete disaster. I originally had a ticket for Circuit No. 2 and wanted to go to the top, but my official tour guide insisted the top was part of Circuit No. 1. So I purchased an additional ticket for Circuit No. 1 just to make sure I could see everything. Then, when I tried to go up, the staff told me that what I wanted to see was not Ticket No. 1 but it was actually Circuit No. 2, and because my original Circuit No. 2 ticket had been valid in the morning, it was now “expired”. So despite buying different tickets, they still refused to let me see the top of circuit 2 from Machu Picchu. Their only response was to tell me to complain to my tour guide, which is absolutely useless and does nothing to fix the fact that I ended up out of one important part I came to see. What makes this even worse is their complete lack of empathy. They don’t understand, or probably don’t care, that people wait months or even years to visit Machu Picchu, and for many it’s a once-in-a-lifetime experience. If someone has a VALID ticket, even if it expired, DURING LOW SEASONS, a few hours earlier due to confusing instructions, the staff should show some humanity and let them in. There is absolutely no reason to be so strict. It was even late afternoon and there wasn't any crowd at all. Instead, the rangers and gate agents were rude, unhelpful, inflexible, and completely indifferent. They just recite the same memorized line ""your ticket expired"" and refuse to help in any real way. Honestly, AI robots would do a far better job than the staff currently working there. I had heard many complaints about Machu Picchu, but now I've experienced this myself. Hope this review helps someone"
Circuito Mágico del Agua,atencion_servicio,negativo,neutro,negativo→neutro,0.4697,resena_mixta,"Ha mejorado mucho este hermoso parque, mucha seguridad y siempre el agua es magica. Muy economico entrar (4 soles o 1 dolar). Hay buenas rutas para llegar aqui, tanto en el metropolitano como servicio de taxi y uber; ademas, el Estadio principal de la ciudad es un buen referente. Recomiendo llegar comenzando la noche y en semana, para que no lo coja la tarde despues. Los baños, relativamente aseados. Considero que es uno de los parques mejor cuidados de la ciudad (nada que ver con el pesimo parque de las leyendas). Como en esta epoca del año, ventea mucho y hace frio, ir bien abrigado. Apoyar a los que trabajan allí, en especial los fotografos. Los comestibles, no hay mucha oferta pero por favor, no generar basuras ni tirarlas, es triste ver esa indisciplina de muchos peruanos que no ayudan a cuidar sus propios parques. Agrego una foto, con el mapa del lugar."
Museo Tumbas Reales del Señor de Sipán,atencion_servicio,negativo,neutro,negativo→neutro,0.4572,ambiguedad_semantica,El señor de Sipan is not open to the public at this time. Please know this. The museum should disclose this on google maps. They are doing maintenance on the room he is in. Two temporary exhibitions are open and entrance is free. The guides and staff are most apologetic about this . We travelled a long way to see this. If we had known we would not have come this way. Email museum before you travel. They respond on Facebook. Might open in January 2024. Check first and save yourself the disappointment. Brunning museum is still worth a visit.
Santuario Histórico de Machu Picchu,seguridad,negativo,neutro,negativo→neutro,0.4479,aspecto_debil,"Machu Picchu is an extraordinary,unique, beautiful, and incredible scenic historical site. It's really as beautiful as pictures online. However, the city in Cusco is extremely overcooked. There are 6 thousand people visiting Machu Pichu daily. Whatsoever time you booked for your visit, you have to wait for your bus and stand a line with other other x hundreds of people. I had a ticket for 7 a.m., and i stood in line since 6:20 am. and arrived to Machu Pichu at 7:45 a.m., which is normal. I've hiked all circuits, including inka bridge and the highest mountain, Waynapicchu, which have 1600 stairs. That was really hard but worth it. You have to buy tickets ahead in advance online. The bus tickets each way cost $24 return per day. If you want to avoid that and reach the gate of Machu Pichu, you can walk to the hills 2+ hours, which i don't recommend. It's better to do down the hills on footpath from Machu Pichu. The cafeterias were so expensive at gates , small bottles of water, $2.15 and in Cusco city 2 litres cost $1.61 😃 it's definitely worth to see it once in life here in Peru. I am highly recommending it. There is so many insects and little mosquitos at Machu Picchu, the best is wearing trousers and still use repelent which you can buy absolutely anywhere in the city for 8 sols, the most powerful 30% is the small bottle,photo included here. Everywhere in the city is available to buy a passport stamp for 5 sol. It's not recommended to do that as some counties count this as illegal or failure of passport. I've travelled 99 countries worldwide, and nobody ever discovered some stamps like that as other countries have no clue, and with too many stamps in your passport, nobody will even notice. It's at your own risk."
Centro Histórico de Lima,costos,negativo,neutro,negativo→neutro,0.4434,resena_mixta,"Fui el día Domingo de Ramos con mi familia, estuvo genial. No se cobran entradas para ingresar a la plaza de Armas. En los días particulares en cualquier momento puede estar cerrado por algunas horas."
Ciudadela de Kuélap,aforo_multitudes,negativo,neutro,negativo→neutro,0.4338,aspecto_debil,"Un lugar lleno de cultura y misterio, en donde se puede observar una muralla que protegía a la ciudad, templos, y hasta una brújula hecha a base de piedra"
Reserva Nacional de Paracas,aforo_multitudes,negativo,neutro,negativo→neutro,0.4303,aspecto_debil,La mina is such beautiful beach!! The water is light blue and clean. The water is cold but so worth it! They have a snack shop upstairs and bathrooms. Would definitely recommend this beach to anyone who wants to be around natures beauty and a friendly crowd
Santuario Histórico de Machu Picchu,accesibilidad,negativo,neutro,negativo→neutro,0.4281,ambiguedad_semantica,"Exceptional beauty, a piece of heaven on earth. Challenging travel arrangements getting there, but worth it. Even the hike to the highest point was hard, but wow, breathtaking view of history."
Museo de Sitio Huaca Pucllana,atencion_servicio,negativo,neutro,negativo→neutro,0.4252,resena_mixta,"Bella experiencia, hermoso lugar y cultura. El personal que nos tocó, muy poco preparado para solucionar conflictos. La recepcionista muy desconfiada por decir menos, insistía en poner en duda mi oficio docente cuando le mostré mi título y mi anexo de contrato, como si yo quisiera engañarla por 17 soles. (Leyendo ahora los comentarios de otros visitantes, me doy cuenta de que no he sido la única que ha recibido mala atención en la recepción. Una pena) Sin mencionar eso, es precioso, imperdible."
Santuario Histórico de Machu Picchu,atencion_servicio,negativo,neutro,negativo→neutro,0.416,ambiguedad_semantica,"1) YOU CANNOT WALK BACK, OR REPEAT ANY PART OF YOUR CIRCUIT. There are staff watching and they will blow their whistle and shout at you if you try. We arrived in a downpour so we walked to some shelter and waited it out. When we tried to walk back on the circuit we had paid for, we were not allowed. It doesn't matter that it's not busy, you want to take photos or any other reason, they will not let you walk back, even 20m. Unfortunately this was not clear when we purchased the ticket so we missed a significant portion of our route :( Therefore I'd advise you to walk slowly and enjoy the views, because once you arrive at the exit, that will be the end of your time at macchu pichu. I feel the staff lack compassion since it was 7am and quiet at macchu pichu, and I didn't want it to rain. If they had a cafe inside at the beginning I'd have waited there, but you have to enter at your time slot so I was left in a downpour in my poncho. I'd paid for flights, accomodation, and so many buses and trains to be there. The staff didn't show any compassion for my situation and were curt. <- therefore one star, but then I added one star for the staff that let me go take pictures of the llamas :) 2) TOILETS WILL COST YOU EXTRA ON TOP OF THE ENTRANCE FEE, AND BAGGAGE STORAGE. Which I also find ridiculous considering the entrance ticket is so expensive. Toilet S/2 and baggage is S/5. 3) YOU CANNOT ENTER BEFORE THE ENTRANCE TIME ON YOUR TICKET Something to do with the system they use. 4) DO NOT FLY A DRONE The staff have a walkie talkie system and respond very quickly. I don't know what the consequences are, but the people we saw were taken to the office. 5) DO NOT BOOK EARLY MORNING TIME SLOT IF YOU ARE VISITING IN WET/ SHOULDER SEASONS The clouds tend to hang low in the sky in the morning so you might not have the best view/ you might have to wait for clouds to clear. 6) YOU CAN BUY THE BUS TICKET FOR THE BUS UPWARDS ONLINE, BEFOREHAND (12 USD per ride) Just look for the one bus company that runs the route. I can't remember off the top of my head. You can also purchase them at the bottom and at the top, the process is quick and easy. Hope this helps :) I did route 1&2 and was happy with all the areas it covered."
Líneas y Geoglifos de Nasca y Palpa,aforo_multitudes,negativo,neutro,negativo→neutro,0.3933,aspecto_debil,"Hermoso lugar, y lleno de cultura. Nos muestra lo grande que fueron nuestros antepasados y las maravillosas personas que protegen su legado. Yo fui al mirador."
Reserva Nacional de Paracas,limpieza,negativo,positivo,negativo→positivo,0.6913,resena_mixta,Muy buena playa. Todo muy tranquilo muy limpio . hay contenedores de basura . El único inconveniente es el servicio higiénico arriba ... Te cobran 2 soles !! Por usar el servicio no hay agua en los servicios higiénicos. No hay cambiadores. Nada y aún así te cobran 2 soles no es mucho pero me parece exceso cuando ya pagaste 10.00 soles para ingresar a la reserva de paracas. Y por persona.. Nosotros eramos 22 personas
Circuito Mágico del Agua,atractivos,negativo,positivo,negativo→positivo,0.6805,ambiguedad_semantica,"Cuando este parque se creó incluía poder disfrutar de todas las piletas por una sola entrada. El alcalde que lo diseñó pensó en el relajo de la rutina y un regalo a la población. Ahora cobran doble por ver todas las piletas con la excusa de hacer un espectáculo temático. Aparte de ser terrible, al haber quitado áreas verdes para poner insoportables juegos desmerece la obra. Qué tal desproposito cumple esta obra ahora. Espero puedan considerar regresar el diseño del parque a sus orígenes."
Monasterio de Santa Catalina,costos,negativo,positivo,negativo→positivo,0.66,resena_mixta,Es bonito pero por 40 soles es carisimo y quizá no merezca la pena. La visita guiada está bien.
Museo de Sitio Huaca Pucllana,atractivos,negativo,positivo,negativo→positivo,0.6528,ambiguedad_semantica,"Muy interesante lugar, pero tienen animales encerrados en jaulas muy pequeñas, una lástima. No corresponde tener un pequeño “zoológico” en un sitio arqueológico, totalmente innecesario."
Circuito Mágico del Agua,atractivos,negativo,positivo,negativo→positivo,0.6268,ambiguedad_semantica,"Ahora parece el parque de los juegos en vez de las aguas, se a perdido su encanto de las aguas en conjunto con la naturaleza y sus areas verdes, en donde caminas hay kiosko, juegos, un desorden total."
Santuario Histórico de Machu Picchu,atractivos,negativo,positivo,negativo→positivo,0.604,ambiguedad_semantica,"Very disappointed and unimpressed. They try and hide the true history. The site is very bare. If you only want pictures then it's ok to visit, if you want true history better off doing your own research"
