annotation_id,a1,a2,a3,consenso,n_acuerdo,aspecto,text_clean
gm_08cbb584e8d25c83__costos,negativo,neutro,neutro,neutro,2,costos,"Todo bien excepto por el cobro de la sombrilla el cobro es de S/. 20 soles ?? y cuando llegamos nunca vimos al Sr. que da se supone esta atento a darte ese servicio para abrir la sombrilla ya que las encuentras cerrada, estuvimos 3 hras y nosotros como es correcto nos acercamos a su lugar para realizar el pago y nos dijo es el servicio que se cobra, pero de que habla si nosotros mismas nos servimos ;O( malaso."
gm_08cbb584e8d25c83__atencion_servicio,negativo,neutro,neutro,neutro,2,atencion_servicio,"Todo bien excepto por el cobro de la sombrilla el cobro es de S/. 20 soles ?? y cuando llegamos nunca vimos al Sr. que da se supone esta atento a darte ese servicio para abrir la sombrilla ya que las encuentras cerrada, estuvimos 3 hras y nosotros como es correcto nos acercamos a su lugar para realizar el pago y nos dijo es el servicio que se cobra, pero de que habla si nosotros mismas nos servimos ;O( malaso."
gm_8fb3022c435b9efc__accesibilidad,neutro,neutro,negativo,neutro,2,accesibilidad,"DONT VISIT IT. Due to us speaking portuguese, the guides refused to let us have an english guided tour (in a very rude way). That was done after we had already paid for the guide. I couldnt understand a thing and it was a waste of my money. 15 Soles for walking around the place is just not worth it."
gm_5eba296f716a648f__seguridad,positivo,neutro,positivo,positivo,2,seguridad,"Es un gusto verla plaza de armas de Lima, pero cuando hay eventos gratuitos como lo fue ayer por el aniversario de La ciudad deberían preocuparse por los baños portátiles en varios puntos y por la comercialización de bebidas alcohólicas que incomodan mucho. Velar por la seguridad del ciudadano de a pie..."
gm_56404ded9b7297a5__costos,neutro,negativo,neutro,neutro,2,costos,"Nice place to walk around. You have to go as part of the walking tour and can't wander around on your own. Price is approx S12. Easy to get to both from central lima (by bus) and you can walk to it from Mirraflores. Tour guide was ok, not too much to explain. English was ok."
gm_33cd1604ea340c20__atractivos,neutro,positivo,positivo,positivo,2,atractivos,Mucha gente no dejan entrar comida pero adentro hay gente cn coolers y tapers y eso no es justooo además los taxis cobran muy caroooooo y hay mucha gente cochinita muy linda la playa pero la están maltratando
gm_3cfbae42d6204e38__atencion_servicio,positivo,neutro,positivo,positivo,2,atencion_servicio,"El tour es bonito en cuanto el conocer la historia, sin embargo, tienen unos animalitos enjaulados en un área pequeña y sin una sola gota de agua, hay patos en sequía, alpacas, llama, un cuyo creo, todos en malas condiciones, con los recipientes de agua secos por no haber tenido agua quien sabe en cuanto tiempo, me parte el corazón esa crueldad y el único propósito de tenerlos es para mostrarlos a los turistas. Porfavor, nada cuesta mantenerles agua el 100% del tiempo."
gm_d160b8ff624a3814__atractivos,neutro,neutro,positivo,neutro,2,atractivos,Cool to see them from the free mirador stairs but unless you love flying there is no need to get the expensive flight tour
gm_c07880d2c4b553d6__atencion_servicio,neutro,neutro,positivo,neutro,2,atencion_servicio,"No dejan ver, apenas una parte muy pequeña; esta en refacción. Tanto gasto para ir y para eso, pienso que no vale la pena. Deben cerrar hasta q terminen la refacción completa y recién abrir. Piensan en sus propios intereses y no en la calidad de servicio que brindan a los usuarios."
gm_4680ec3328bb96fe__atractivos,positivo,neutro,positivo,positivo,2,atractivos,"El cañon del colca es un excelente lugar para visitar, el vuelo del condor es una experiencia unica y muy recomendada"
gm_d24200fb76c652d8__atractivos,neutro,neutro,positivo,neutro,2,atractivos,"No existe comunicación entre el teleferico y Kuelap, a pesar de ser la única opción para llegar (sino debes caminar más de 4 hrs). No compren las entradas por adelantado, si te pasas de la hora no te dejan entrar y si hay algún problema no te cambian la entrada. En el teleferico hay un pequeño stand y ahi puedes comprarlas (solo por internet!) Es un bello lugar pero la administración deja mucho que desear, solo puedes hacer 1 recorrido, así que hazlo lento porque no te permiten retroceder en el camino. Me voy con la sensación de que solo les interesa el dinero y no se preocupan del turista, ni de la experiencia vivida."
gm_f4f59355b4ac4091__accesibilidad,neutro,positivo,neutro,neutro,2,accesibilidad,"A fair distance on the bus from Arequipa, but well worth it! Stunning scenery and to see Condors so close and in the wild is a real treat. Amazing!"
gm_7294d171d6335068__atractivos,positivo,neutro,positivo,positivo,2,atractivos,"Pretty nice and interesting historical place, if a little overhyped. Our experience was dampened by a terrible guide who repeated the same 3-4 facts that could be found in any guidebook over the course of 45mins. Afterwards we went round again and there was enough information available on the walls and the leaflet you get given with entry (unlike in several other attractions in Peru) to enjoy a slower self guided tour. That being said, we heard a couple of more diligent guides while on our second lap so perhaps we were just unlucky."
gm_6f306e508dc373a8__costos,positivo,neutro,positivo,positivo,2,costos,"It’s an overpopulated tourist trap. Out of the 2,5 hours I was waiting for 2 hours on instagram addicts taking the same selfie everyone else also has. The guide told very basic stories which is not worth your money. You might as well go to Disneyland and stand in line all day. Better take route 4 and hike up Huayna Picchu by yourself. Probably one of the worst ancient temples I’ve visited in Latin America."
gm_6f306e508dc373a8__accesibilidad,neutro,negativo,neutro,neutro,2,accesibilidad,"It’s an overpopulated tourist trap. Out of the 2,5 hours I was waiting for 2 hours on instagram addicts taking the same selfie everyone else also has. The guide told very basic stories which is not worth your money. You might as well go to Disneyland and stand in line all day. Better take route 4 and hike up Huayna Picchu by yourself. Probably one of the worst ancient temples I’ve visited in Latin America."
gm_6f306e508dc373a8__atencion_servicio,neutro,negativo,neutro,neutro,2,atencion_servicio,"It’s an overpopulated tourist trap. Out of the 2,5 hours I was waiting for 2 hours on instagram addicts taking the same selfie everyone else also has. The guide told very basic stories which is not worth your money. You might as well go to Disneyland and stand in line all day. Better take route 4 and hike up Huayna Picchu by yourself. Probably one of the worst ancient temples I’ve visited in Latin America."
gm_80b15b528bbcea18__atractivos,positivo,neutro,positivo,positivo,2,atractivos,"The place itself is certainly unique and very special. The organization and the associated bureaucracy is a disgrace, also because 1.7 million people visit this site every year, the organization should be improved. At first, our train didn't run and we had to wait in a larger group with two small children in undignified conditions in front of a gate with hundreds of others. We spent a total of over 1600 dollars on the train tickets alone, so you would at least expect decent conditions. After a delay of around 2.5 hours, we boarded the train. The information policy at the station was practically non-existent. On the day of the tour (after all the necessary documents had been submitted), our tickets were checked a total of 5 times (!!!) and we were asked for all our IDs 4 times (in a group of 10 people). At the entrance to the Puchho Piccho we had to wait again for about 15 minutes (in the rain), there was again bureaucratic dung, if necessary it would have been helpful if the person had not been alone. If you now think about who is enriching themselves in this place and on the way there, the whole thing is outrageous for the Peruvian people. A few rich people are getting much richer here and the poor remain poor. But it is inconceivable that the organization and processes associated with the visit are not being improved."
gm_e81ea6c9c2807744__accesibilidad,neutro,neutro,positivo,neutro,2,accesibilidad,"Me encanto la vibra y la paz que se siente en este lugar, es increíble. Hace honor a su nombramiento como Maravilla del mundo. Yo fui con una agencia lo cual me facilitó todo, me esperaba un guía en cada momento para acompañar todo mi recorrido. Muchas personas deciden hacerlo por su cuenta sin embargo por los tiempos creo que con guía puede ser mejor y más ordenado. Para subir yo subí en transporte el cual tardo 20 min pero se hace fila de una hora previa a subir al transporte. Hay personas que lo hacen caminando y al parecer es aproximadamente dos horas para subir pero vale totalmente la pena cuando ya estás arriba."
gm_3834d84e31be48f8__atractivos,neutro,positivo,positivo,positivo,2,atractivos,Buen museo aunque deben mejorar el tema de la colá porque tienen a todas las personas expuestas directamente al sol sin ningún tipo de protección tal como carpas o hacer la colá en la zona cubierta por los árboles pero los guardias no lo permiten y hacen caso omiso al pedido.
gm_0677f1dc52605d09__atencion_servicio,positivo,neutro,positivo,positivo,2,atencion_servicio,"I visited the archaeological site today, and although the tour was interesting, I was shocked by the living standards of the animals on the site, present to illustrate the resources of the ancient people. There were ducks with no access to fresh water, which is part of their essential living environment - instead they had a stagnant, filthy puddle and were surrounded by their own waste. The guinea pigs were also living in tiny pens, covered in their own waste. I would ask the site management to please rethink the provisions they are giving to these animals - perhaps even charging a slightly higher ticket price to allow for a better environment. The current living standards are really not appropriate, and lets down an otherwise good value tour."
gm_1b3ddde313d2158e__atencion_servicio,neutro,negativo,positivo,SIN_CONSENSO,1,atencion_servicio,"Plan Ahead: Machu Picchu Tickets Sell Out Early Machu Picchu is incredible, but be warned: if you don’t buy your ticket online 4–5 months in advance (especially for high season like August), you might not get in. Tickets sell out quickly, and it’s poorly managed many travelers arrive only to find there are no spots for 2–3 days. Staying in Aguas Calientes just to wait isn’t worth it. Tourist authorities should improve the system and communication. Plan ahead to avoid disappointment."
gm_1b3ddde313d2158e__alojamiento,positivo,neutro,neutro,neutro,2,alojamiento,"Plan Ahead: Machu Picchu Tickets Sell Out Early Machu Picchu is incredible, but be warned: if you don’t buy your ticket online 4–5 months in advance (especially for high season like August), you might not get in. Tickets sell out quickly, and it’s poorly managed many travelers arrive only to find there are no spots for 2–3 days. Staying in Aguas Calientes just to wait isn’t worth it. Tourist authorities should improve the system and communication. Plan ahead to avoid disappointment."
gm_1b3ddde313d2158e__clima,neutro,negativo,positivo,SIN_CONSENSO,1,clima,"Plan Ahead: Machu Picchu Tickets Sell Out Early Machu Picchu is incredible, but be warned: if you don’t buy your ticket online 4–5 months in advance (especially for high season like August), you might not get in. Tickets sell out quickly, and it’s poorly managed many travelers arrive only to find there are no spots for 2–3 days. Staying in Aguas Calientes just to wait isn’t worth it. Tourist authorities should improve the system and communication. Plan ahead to avoid disappointment."
gm_b3e72e04a87731bf__accesibilidad,neutro,neutro,negativo,neutro,2,accesibilidad,"Creo que no hay relación en el costo y el tiempo que te lleva llegar al Machu Picchu, con lo que es. Obvio que es hermoso! Y hay que conocerlo, pero hay muchísima gente, compré el circuito 3 por el waina Picchu, una guia nos cobro 50 soles , que si es necesaria la explicación, pero este circuito son 200 mts? ...luego subis al waina que es espectacular, cansador y no apto para los que tienen miedo a las alturas, ahí es libre el tiempo, pero después cuando bajas , seguís por tu circuito hacia la salida, pero sin explicación de guía y toda la gente saliendo hace que te vayas rápido. El pueblo de aguas calientes me pareció muy lindo!!! Muchos bares, eso sí, todo en inglés, está bien que haya turistas, pero una carta en el resto en castellano!!! Y lo más importante....fui en minivan desde Cusco a hidroeléctrica, el camino es un desastre, nose como está habilitada esa ruta!!! Luego camine 10 km, lindo...pero obviamente volví en tren ( 70 dólares) no iba a arriesgar mi vida , menos que siempre llueve.... Conclusión es caro? Si...hay que conocerlo? Si...peroooo hay otros lugares que valen la pena, esto es puro comercio."
gm_63c400f3679df37e__atractivos,positivo,neutro,positivo,positivo,2,atractivos,"La plaza se ve muy bonita, rodeada de edificaciones de la época colonial. Lamentablemente en las 3 veces que fuí, estaba cercada por protestas. Así que no pude disfrutar del entorno desde el centro de la misma."
gm_63c400f3679df37e__clima,positivo,neutro,positivo,positivo,2,clima,"La plaza se ve muy bonita, rodeada de edificaciones de la época colonial. Lamentablemente en las 3 veces que fuí, estaba cercada por protestas. Así que no pude disfrutar del entorno desde el centro de la misma."
gm_b689993b9357a542__atractivos,neutro,neutro,positivo,neutro,2,atractivos,Linda plaza central con una catedral que parece desde afuera muy grande y que lamentablemente no pudimos entrar.
gm_a26df7e676b50f48__accesibilidad,neutro,positivo,neutro,neutro,2,accesibilidad,It's a long bus ride to get there but the reward is totally worth it! Watching the Condors soaring around for a couple of hours was amazing. Well worth the trip!
gm_dbdb949adae6779b__atractivos,neutro,neutro,positivo,neutro,2,atractivos,"Cómo toda ciudad tiene partes lindas y partes feas, pero lo que me sorprendió es la organización del tránsito , uno de los mejores que e visto en Perú"
gm_f7cded270d4aa4f2__accesibilidad,neutro,positivo,neutro,neutro,2,accesibilidad,"It’s ok but not worth the walk, the cable car crossing the valley taking you to the other side of the mountain before you start walking is totally worth it. Actually I will recommend doing the Kuelap cable car only, it takes you all the way down the mountain and up again. Considering they are 4000+ metres mountains. Pretty amazing."
gm_31deb2db1f7f60b7__atractivos,positivo,neutro,positivo,positivo,2,atractivos,"Una playa cristalina para compartir en familia, solo deben tomar en cuenta estos consejos: 1. No ir los fines de semana porque va mucha gente y no conseguiras espacio para acomodarte, ademas que el agua se vuelve reboltosa. 2. No llevar mascotas 3. No llevae bebidas alcoholicas ni frutas 4. No llevar envases de plasticos 5. No llevar cornetas de musica 6. No tienen duchas Es un lugar ideal para disfrutar entre semana"
gm_31deb2db1f7f60b7__limpieza,positivo,neutro,positivo,positivo,2,limpieza,"Una playa cristalina para compartir en familia, solo deben tomar en cuenta estos consejos: 1. No ir los fines de semana porque va mucha gente y no conseguiras espacio para acomodarte, ademas que el agua se vuelve reboltosa. 2. No llevar mascotas 3. No llevae bebidas alcoholicas ni frutas 4. No llevar envases de plasticos 5. No llevar cornetas de musica 6. No tienen duchas Es un lugar ideal para disfrutar entre semana"
gm_88146e5ae04de0e7__atractivos,neutro,neutro,positivo,neutro,2,atractivos,"Kuélap es una ciudadela fortificada que vigila desde lo alto. Legado milenario de la cultura Chachapoyas. Sus imponentes murallas, de hasta 20 metros de altura, son el reflejo de una avanzada ingeniería y arquitectura monumental. un excelente lugar para conocer nuestro Perú."
gm_0715dd32fe61711e__costos,positivo,neutro,positivo,positivo,2,costos,Boring historical army plaza — honestly not worth the visit. You can skip this one without any FOMO.
gm_357cb4ec2391546e__atencion_servicio,positivo,neutro,positivo,positivo,2,atencion_servicio,"La entrada es demasiado costosa, nose porque cuando son cosas de la iglesia las entradas son mas caras que cualquier otra cosa, es bonito si, pero solo es un convento lleno de cuartos, con uno que otro jardín, el guia cobra aparte y te lleva corriendo, y es grande el monasterio, asi que sale bien caro visitar este monasterio."
gm_7a9b8baf47e569c2__atractivos,positivo,neutro,positivo,positivo,2,atractivos,The presentation was good and the guide but the museum did not allowed cameras very anoying.
gm_6e0afb6e1e680e47__atractivos,neutro,positivo,neutro,neutro,2,atractivos,"Sitio arqueológico ubicado en Miraflores, una excelente opción si se esta de paso por Lima. La visita guiada dura 1hora, en donde te explican en forma muy fugaz las costumbres de los primeros pobladores del área de Lima."
gm_460ad346851cd89e__atractivos,positivo,neutro,positivo,positivo,2,atractivos,"1) YOU CANNOT WALK BACK, OR REPEAT ANY PART OF YOUR CIRCUIT. There are staff watching and they will blow their whistle and shout at you if you try. We arrived in a downpour so we walked to some shelter and waited it out. When we tried to walk back on the circuit we had paid for, we were not allowed. It doesn't matter that it's not busy, you want to take photos or any other reason, they will not let you walk back, even 20m. Unfortunately this was not clear when we purchased the ticket so we missed a significant portion of our route :( Therefore I'd advise you to walk slowly and enjoy the views, because once you arrive at the exit, that will be the end of your time at macchu pichu. I feel the staff lack compassion since it was 7am and quiet at macchu pichu, and I didn't want it to rain. If they had a cafe inside at the beginning I'd have waited there, but you have to enter at your time slot so I was left in a downpour in my poncho. I'd paid for flights, accomodation, and so many buses and trains to be there. The staff didn't show any compassion for my situation and were curt. <- therefore one star, but then I added one star for the staff that let me go take pictures of the llamas :) 2) TOILETS WILL COST YOU EXTRA ON TOP OF THE ENTRANCE FEE, AND BAGGAGE STORAGE. Which I also find ridiculous considering the entrance ticket is so expensive. Toilet S/2 and baggage is S/5. 3) YOU CANNOT ENTER BEFORE THE ENTRANCE TIME ON YOUR TICKET Something to do with the system they use. 4) DO NOT FLY A DRONE The staff have a walkie talkie system and respond very quickly. I don't know what the consequences are, but the people we saw were taken to the office. 5) DO NOT BOOK EARLY MORNING TIME SLOT IF YOU ARE VISITING IN WET/ SHOULDER SEASONS The clouds tend to hang low in the sky in the morning so you might not have the best view/ you might have to wait for clouds to clear. 6) YOU CAN BUY THE BUS TICKET FOR THE BUS UPWARDS ONLINE, BEFOREHAND (12 USD per ride) Just look for the one bus company that runs the route. I can't remember off the top of my head. You can also purchase them at the bottom and at the top, the process is quick and easy. Hope this helps :) I did route 1&2 and was happy with all the areas it covered."
gm_024cdbbb48567beb__costos,positivo,neutro,positivo,positivo,2,costos,"Hay mucha aglomeración y personal de la municipalidad que realmente está demás, no saben orientar, tan igual personal de la policía que también está demás, en conclusión Falta personal que oriente y sepa de la cultura y sus costumbres, y recomendar, guiar, ilustración y hacer de la plaza un lugar, de agradable visita para todos, como peruanos y extranjeros. Recomiendo hacer aportación para tal fin. Pero la pregunta es a quien, porque el personal de la municipalidad, no razona"
gm_024cdbbb48567beb__atencion_servicio,positivo,neutro,positivo,positivo,2,atencion_servicio,"Hay mucha aglomeración y personal de la municipalidad que realmente está demás, no saben orientar, tan igual personal de la policía que también está demás, en conclusión Falta personal que oriente y sepa de la cultura y sus costumbres, y recomendar, guiar, ilustración y hacer de la plaza un lugar, de agradable visita para todos, como peruanos y extranjeros. Recomiendo hacer aportación para tal fin. Pero la pregunta es a quien, porque el personal de la municipalidad, no razona"
gm_15f6455bcd1dacfb__seguridad,positivo,neutro,positivo,positivo,2,seguridad,"Terrible y lamentable el estado actual en el que se encuentran las.playas.de.la reserva. Abarrotadas, sin control o seguridad, desorden a donde se mire."
gm_81895f01d6d22a06__costos,positivo,neutro,positivo,positivo,2,costos,"This is a cool historical site surrounded by sea of police corruption. We were there in December and five (5) police shakedowns later, my son and I made it from the Nazca desert back to Lima. Our strategies included dividing up the $100 dollars the Hilton gave us on credit (after the police stole all of our money a day earlier). We divided the $ and hid it in various locations in the car. Each time I would reload my wallet with only $20 dollars. Each time the Peru Police pulled us over and demanded money for not having a fire extinguisher in the car, for having the lights on, for NOT having the lights on...they just pulled out their little book of violations and pointed to a violation and demanded payment on the spot. Each time my wallet only had $20 and we said that was all we had and we would be happy to pay by credit card (which of course they could not take...). We kept our original passports hidden and just used the copies of our documents that the Hilton made for us. We would say that ""the police already kept our original documents and we don't have them anymore and are going to the American Consulate in Lima to ask for them to be replaced."" One group of police actually let us go with no payment at all...so that was positive.... I've been to 84 countries. This is the most corrupt place that I have ever seen. Sometimes the traffic fines come with death threats. Seeing the lines by aircraft was interesting but not worth the price of all the police terrorism to get down there from Lima."
gm_81895f01d6d22a06__seguridad,neutro,negativo,neutro,neutro,2,seguridad,"This is a cool historical site surrounded by sea of police corruption. We were there in December and five (5) police shakedowns later, my son and I made it from the Nazca desert back to Lima. Our strategies included dividing up the $100 dollars the Hilton gave us on credit (after the police stole all of our money a day earlier). We divided the $ and hid it in various locations in the car. Each time I would reload my wallet with only $20 dollars. Each time the Peru Police pulled us over and demanded money for not having a fire extinguisher in the car, for having the lights on, for NOT having the lights on...they just pulled out their little book of violations and pointed to a violation and demanded payment on the spot. Each time my wallet only had $20 and we said that was all we had and we would be happy to pay by credit card (which of course they could not take...). We kept our original passports hidden and just used the copies of our documents that the Hilton made for us. We would say that ""the police already kept our original documents and we don't have them anymore and are going to the American Consulate in Lima to ask for them to be replaced."" One group of police actually let us go with no payment at all...so that was positive.... I've been to 84 countries. This is the most corrupt place that I have ever seen. Sometimes the traffic fines come with death threats. Seeing the lines by aircraft was interesting but not worth the price of all the police terrorism to get down there from Lima."
gm_81895f01d6d22a06__aforo_multitudes,neutro,negativo,neutro,neutro,2,aforo_multitudes,"This is a cool historical site surrounded by sea of police corruption. We were there in December and five (5) police shakedowns later, my son and I made it from the Nazca desert back to Lima. Our strategies included dividing up the $100 dollars the Hilton gave us on credit (after the police stole all of our money a day earlier). We divided the $ and hid it in various locations in the car. Each time I would reload my wallet with only $20 dollars. Each time the Peru Police pulled us over and demanded money for not having a fire extinguisher in the car, for having the lights on, for NOT having the lights on...they just pulled out their little book of violations and pointed to a violation and demanded payment on the spot. Each time my wallet only had $20 and we said that was all we had and we would be happy to pay by credit card (which of course they could not take...). We kept our original passports hidden and just used the copies of our documents that the Hilton made for us. We would say that ""the police already kept our original documents and we don't have them anymore and are going to the American Consulate in Lima to ask for them to be replaced."" One group of police actually let us go with no payment at all...so that was positive.... I've been to 84 countries. This is the most corrupt place that I have ever seen. Sometimes the traffic fines come with death threats. Seeing the lines by aircraft was interesting but not worth the price of all the police terrorism to get down there from Lima."
